RTCid,Parent,Type,Summary,Sprint,Team,SP,Blocks
1008710,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Chavez (14.3),14.3,Labradors,2,
1008709,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Chavez (14.2),14.2,Labradors,2,
1008707,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Chavez (14.1),14.1,Labradors,2,
1008697,384084,Story,Feature 384084: Support Feature Demo – Customer Demo Event,14.4,SIC,1,
1008689,384084,Story,Feature 384084: Support Execute STCD Feature Integration and testing including STCD updates identified,14.3,SIC,1,
1008685,384084,Story,"Feature 384084: Update rules files, integrate & test",14.2,SIC,2,
1008681,384084,Story,Feature 384084: Support create STCD and review with stakeholders,14.2,SIC,1,
1008673,384084,Story,"Feature 384084: FM Topology - Perform Iterative Implementation, Integration, development Testing including updating design",14.2,SIC,2,
1008663,384036,Story,Feature 384036: Incorporate AAA Config into Nutanix SVD,14.1,Okapi,3,
1008653,388549,Story,Feature 388549: Support ULX Hardware Design,14.2,Octopi,2,
1008646,395373,Story,VMP: Continue Developing the Operational Scan Plan - 14.4,14.4,Cyber,3,
1008645,395373,Story,VMP: Continue Developing the Operational Scan Plan - 14.3,14.3,Cyber,3,
1008644,385442,Story,Feature 385442: Capabilities Design Specification and Detailed Design Documentation -  Integration and Test Strategy Continue from 14.1 [14.4],14.4,Okapi,1,
1008643,395373,Story,VMP: Development of an Operational Scan Plan- 14.1,14.1,Cyber,3,
1008640,354680,Story,Feature 354680 (Site): Verify SIPRNET access to search head in VLAB,14.2,Okapi,2,
1008639,1004171,Story,Feature 1004171: Test group solution (14.3),14.3,WWTS,2,
1008638,395373,Story,VMP: Complete Scan Assessment Guidance document (Part 2),14.4,Cyber,5,
1008635,1001912,Story,Feature 1001912: WF PWI burndown - Yue-Chain,14.3,WWTS,3,
1008631,396819,Story,Lab - Maintain Labs - Work MUOS test process document to resolve CAR 14.3,14.3,TOFF,2,
1008626,395835,Story,Support application review for DADMs applicability - 14.3,14.3,Cyber,1,
1008625,1007536,Story,Feature 1007536: Review and Rework 2-Factor PowerPoint Proposal,14.4,Okapi,3,
1008623,1007536,Story,Feature 1007536: Review & Approve 2-factor PowerPoint Proposal,14.4,Okapi,2,
1008622,395835,Story,Support application review for DADMs applicability - 14.1,14.1,Cyber,1,
1008621,1007536,Story,Feature 1007536: Review and Present 2-Factor PowerPoint Proposal,14.4,Okapi,2,"1007544
1007542
1007543"
1008615,1004171,Story,Feature 1004171: Create instrumented build for group prov fix scenarios,14.2,WWTS,2,
1008612,396819,Story,Lab - Maintain Labs - Work MUOS test process document to resolve CAR 14.5,14.5,TOFF,3,
1008611,1007536,Story,"Decompose Story 1007542, Story 1007544, and Story 1007543",14.2,Okapi,3,"1007543
1007542
1007544"
1008610,395373,Story,Cyber Sustainment Activities PI 14 (Recurring),14.3,Cyber,5,
1008609,392743,Story,Feature 392743: Fix problem 354579 - part 4,14.2,SIC,3,1008584
1008605,392743,Story,Feature 392743: Fix problem 354579 - part 3,14.2,SIC,2,1008609
1008600,395373,Story,Generate DTA Process Document for MUOS,14.2,Cyber,5,
1008593,1001248,Story,Feature 1001248 OTAP: IETM updates - ILS,14.3,Falcons,1,
1008592,1001248,Story,Feature 1001248 OTAP: IETM updates,14.3,SIC,1,
1008591,354174,Story,Feature 354174 Splunk IETM: Feature demo prep,14.3,SIC,3,
1008590,354174,Story,Feature 354174 Splunk IETM: Dry runs - Joel,14.2,SIC,2,
1008589,354174,Story,Feature 354174 Splunk IETM: Dry runs,14.2,SIC,2,
1008588,354174,Story,Feature 354174 Splunk IETM: Test/Dry run procedure 313670 fix,14.2,SIC,2,
1008587,354174,Story,Feature 354174 Splunk IETM: Splunk HA IETM Review,14.2,SIC,1,
1008586,354174,Story,Feature 354174 Splunk IETM: Review fix for problem 313670,14.2,SIC,1,
1008585,392743,Story,Feature 392743 ATO: Feature Demo – Customer Demo Event,14.4,SIC,1,
1008584,392743,Story,Feature 392743 ATO: demo prep,14.3,SIC,1,1008585
1008583,392743,Story,Feature 392743 ATO: create STCD,14.2,SIC,1,
1008582,392743,Story,Feature 392743 ATO: MFR 1 write up,14.2,SIC,1,
1008556,384036,Story,Nutanix FRCB,14.4,Okapi,3,
1008555,390286,Story,Feature 390286: Support MPC to Disable LLMNR and NetBIOS ,14.2,Cyber,1,
1008553,384036,Story,Nutanix alarm procedures testing,14.3,Okapi,2,
1008550,354680,Story,Feature 354680 (Site): IA Posture Assessment - part 2,14.3,SIC,3,
1008549,354680,Story,Feature 354680 (Site): Splunk HA review - Dustin,14.4,SIC,1,
1008547,354680,Story,Feature 354680 (Site): Splunk HA review - Ricardo,14.4,SIC,1,
1008546,354680,Story,Feature 354680 (Site): Splunk HA review - Katie,14.4,SIC,1,
1008545,354680,Story,Feature 354680 (Site): Splunk HA review - Joel,14.4,SIC,1,
1008542,378000,Story,Feature 378000: AWARE O-Level Procedure Updates - Independent Test (Dry Runs),14.1,Magic,8,
1008536,384136,Story,Feature 384136: OBS HBSS- Review IA Related IETMs for Compliance (EA 14.3),14.3,Okapi,3,
1008534,352931,Story,"Prepare Docs for SPLUNK HA FRCB: System Operational Verification Test, SOVT, Test Inputs for Feature - part 2",14.2,SIC,3,
1008533,384136,Story,Feature 384136: MFR 3 – Review Design updates based on initial STIG finding Part 2,14.4,Okapi,3,
1008532,385856,Story,Feature 385856: Conversion to ACC - Systems Effort,14.4,Magic,3,
1008529,354680,Story,Feature 354680 (Site): Scratch install of Splunk HA person 1 (SVD Redlines),14.2,SIC,3,
1008526,354646,Story,MUOS Terminal Trade (Cyber Support),14.2,Cyber,1,
1008525,354646,Story,MUOS Terminal Trade (Cyber Support),14.1,Cyber,1,
1008524,1001248,Story,"Feature 1001248 OTAP: Fix Problem 387255 Perform Iterative Implementation, Integration, and  development.- part 3",14.3,SIC,3,
1008521,396819,Story,Lab - Maintain Labs - V-Labs Network and Account Administrator - Shawn (14.1),14.1,TOFF,1,
1008494,396272,Story,Feature 396272: Review UE instrumentation reports - EA 14.4,14.4,TOFF,2,
1008493,1001636,Story,Support Updating the Cyber IA Repository Database,14.5,System Engineering,1,
1008491,381608,Story,Feature 381608: Support STCD Execution,14.1,WWTS,1,
1008490,381608,Story,Feature 381608: Support STCD Execution,14.1,WWTS,1,
1008488,381608,Story,Feature 381608: Finish STCD Execution,14.1,WWTS,2,
1008486,384136,Story,Feature 384136: Develop IETM procedures based on list of identified IETM updates. Part 1,14.1,Cyber,5,
1008482,395174,Story,Feature 395174: SMDC Laptops Patches and Scans (Part 2),14.2,Cyber,1,
1008480,395174,Story,Feature 395174: SMDC Laptops Patches and Scans (Part 1),14.1,Cyber,1,
1008478,392530,Story,Cyber IA Patching - PI 14 (Recurring) - PI14.2,14.2,Cyber,1,
1008477,392530,Story,Cyber IA Patching - PI 14 (Recurring) - PI14.1,14.1,Cyber,3,
1008476,392530,Story,Cyber IA Patching - PI 14 (Recurring) - PI14.1,14.1,Cyber,1,
1008465,318430,Story,Feature 318430 ETT: PCR Verification,14.1,Okapi,2,
1008463,395871,Story,Refresh PPA U2B External Interference System Parameters - implement MPC,14.2,SIC,2,
1008460,395871,Story,Refresh PPA U2B External Interference System Parameters - testing,14.2,SIC,1,
1008456,1004171,Story,Feature 1004171: Create instrumented build for group prov fix scenarios,14.2,WWTS,2,
1008455,384036,Story,Feature 384036: Test Nutanix and Cisco Switch Deployment Plan to prevent outages (2),14.4,Okapi,2,
1008454,1004171,Story,Feature 1004171: Code walk through of solutions - Sang,14.3,WWTS,1,
1008453,290711,Story,Feature 290711: AWARE SME Support (if needed),14.1,Magic,1,
1008452,318430,Story,Feature 318430 ETT Laptop - Feature Demo – Customer Demo Support and STCD review,14.1,Labradors,2,
1008448,396272,Story,Feature 396272: Review UE instrumentation reports - EA 14.1,14.1,TOFF,2,
1008444,368860,Story,Feature: 368860 Cost Estimate ~ Waveform,14.3,WWTS,1,
1008443,368860,Story,Feature: 368860 Cost Estimate ~ Waveform,14.2,WWTS,1,
1008409,1001636,Story,3) Determine which CAT1s in the new POAM spreadsheet are being addressed by Obsolescence,14.1,Cyber,2,
1008408,1001636,Story,2) Determine the CAT1s that have already been addressed by existing PWIs,14.1,Cyber,3,
1008407,395373,Story,DADMS Compliance,14.3,Cyber,3,
1008406,395373,Story,VMP: Continue Developing the Operational Scan Plan - 14.3,14.3,Cyber,3,
1008405,386935,Story,Feature 386935: Iterative STCD Development and Site Functional Plan,14.4,Magic,1,
1008404,386935,Story,Feature 386935: Iterative STCD Development and Site Functional Plan,14.3,Magic,1,
1008403,386935,Story,Feature 386935: Coordinate Final STCD Review Meeting (Internal),14.4,Magic,1,
1008402,386935,Story,Feature 386935: Coordinate Intermediate STCD Review Meeting (Internal),14.3,Magic,1,
1008401,386935,Story,Feature 386935: Coordinate Initial Test Planning (STCD) Meeting (Internal),14.2,Magic,1,
1008398,1002345,Story,Feature 1002345: Coordinate Initial Test Planning (STCD) Meeting (Internal),14.3,Magic,1,
1008397,396002,Story,Feature 396002: Train Zeta Technical Contract Coordinator,14.1,Magic,1,
1008396,354680,Story,Feature 354680 (Site): Add new Splunk HA hosts to GSKM,14.3,Okapi,2,
1008394,354680,Story,Feature 354680 Site: Splunk HA final lab testing: forwarder Failure/failovers,14.3,SIC,2,
1008393,354680,Story,Feature 354680 (Site): Splunk HA final lab testing: Communication path failures (includes load balancer),14.3,SIC,2,
1008392,354680,Story,Feature 354680 (Site): PKI Document PCRs for Splunk HA Verification.Technical Review Only. Redlines to CI Owner.,14.4,SIC,1,
1008391,354680,Story,Feature 354680 (Site): Splunk HA PCR Verification,14.4,SIC,2,
1008390,354680,Story,Feature 354680 (Site): Backup/Archive CI review for Splunk HA,14.2,SIC,3,
1008389,354680,Story,Feature 354680 (Site): Splunk HA Review,14.4,SIC,3,
1008388,354680,Story,Feature 354680 (Site): Splunk HA- Begin RHEL CI review,14.4,SIC,3,
1008387,354680,Story,Feature 354680 (Site): Execute STCD: 1st full run of feature test,14.3,SIC,2,
1008385,354680,Story,Feature 354680 (Site): Complete Splunk HA STCD Development - Test Team,14.3,SIC,2,
1008384,354680,Story,Feature 354680 (Site): Splunk HA VLAB Performance Benchmark for STCD,14.2,SIC,2,
1008377,354680,Story,Feature 354680 (Site): Continued Splunk HA STCD Development - Chris,14.2,SIC,2,
1008376,354680,Story,Feature 354680 (Site): Continued Splunk HA STCD Development - Art,14.2,SIC,3,
1008375,354680,Story,Feature 354680 (Site): Development Build Generation (Ready for VLAB) (QCOW file generation),14.2,SIC,1,
1008373,354680,Story,Feature 354680 (Site): Update ClearCase for Splunk HA,14.2,SIC,1,
1008372,354680,Story,Feature 354680 (Site): Complete Splunk HA SVD Draft (Ready for Official Hardware) following data migration,14.2,SIC,3,
1008370,354680,Story,Feature 354680 (Site): Scratch install of Splunk HA person 2: SVD Execution,14.2,SIC,3,
1008369,354680,Story,Feature 354680 (Site): Dry-run data migration plan in VLAB - TeamMember2,14.2,SIC,1,
1008335,386935,Story,Feature 386935: SV Relo Phase 3 Closeout Testing,14.1,Magic,3,
1008272,384036,Story,Feature 384036: Implement Automated Application installation using on Nutanix and RHEL per SVD (3),14.3,Okapi,5,
1008265,388053,Story,Design PPA Replacement,14.1,System Engineering,2,
1008264,368860,Story,Feature: 368860 High-Level System Architecture ~ Support AIM Team,14.4,System Engineering,1,
1008263,368860,Story,Feature: 368860 High-Level System Architecture ~ Support AIM Team,14.3,System Engineering,1,
1008262,368860,Story,Feature: 368860 High-Level System Architecture ~ Support AIM Team,14.2,System Engineering,1,
1008261,368860,Story,Feature: 368860 High-Level System Architecture ~ Support AIM Team,14.1,System Engineering,1,
1008260,368860,Story,Feature: 368860 High-Level System Architecture ~ Drawing Updates,14.4,System Engineering,1,
1008259,368860,Story,Feature: 368860 High-Level System Architecture ~ Drawing Updates,14.3,System Engineering,1,
1008258,368860,Story,Feature: 368860 High-Level System Architecture ~ Drawing Updates,14.2,System Engineering,1,
1008255,388549,Story,"Feature 388549: ULX Detailed Design - FM/Logging (Final Detailed Design Updates, Support Final Presentation)388549",14.4,Alicorn,5,
1008254,388549,Story,"Feature 388549: ULX Detailed Design - FM/Logging (Define Connection to Data Storage, Manager, Intelligent Processing, Component, Parameters, Returns)",14.3,Alicorn,5,
1008253,388549,Story,Feature 388549: ULX Detailed Design - Create BOM,14.4,Octopi,5,
1008252,388549,Story,"Feature 388549: ULX Detailed Design - Drawings, Part 2 of 2",14.4,Octopi,2,
1008251,388549,Story,"Feature 388549: ULX Detailed Design - Drawings, Part 1 of 2",14.2,Octopi,2,
1008250,388549,Story,Feature 388549: ULX Detailed Design - Sparing Analysis,14.2,Octopi,3,
1008249,388549,Story,Feature 388549: ULX Detailed Design - Final Design Doc & Presentation Support,14.4,Alicorn,3,
1008248,388549,Story,Feature 388549: ULX Detailed Design - Final Design Doc & Presentation Support,14.4,Alicorn,3,
1008246,354680,Story,Feature 354680 (Site): IA Patching and STIGs (RHEL),14.1,SIC,5,
1008245,354680,Story,Feature 354680 (Site): Backup/Archive SVD updates for Splunk HA,14.1,SIC,1,
1008244,354680,Story,Feature 354680 (Site): Review PKI document updates for Splunk HA. Technical Review Only.  Do not incorporated into EAD 16.,14.3,SIC,3,
1008243,354680,Story,Feature 354680 (Site): Review of Splunk HA updates to AMP document. Technical Review Only.  Do not incorporated into EAD 16.,14.3,SIC,1,
1008242,354646,Story,MUOS Terminal Trade,14.1,System Engineering,2,
1008240,354646,Story,MUOS Terminal Trade,14.2,System Engineering,3,
1008239,354646,Story,MUOS Terminal Trade,14.1,System Engineering,5,
1008231,1007536,Story,Feature 1007536: Develop 2-Factor Power Point Proposal,14.3,Okapi,5,"1008625
1008623
1008621"
1008230,395871,Story,Feature 395871: TOFF front-end CRM TT support (Sally) 14.5,14.5,TOFF,1,
1008229,395871,Story,Feature 395871: TOFF front-end CRM TT support (Sally) 14.3,14.3,TOFF,1,
1008209,354680,Story,Feature 354680 (Site): HW/SW Map Document Review.Technical Review Only.  Do not incorporated into EAD 16.,14.3,SIC,3,
1008208,354680,Story,Feature 354680 (Site): Splunk HA STCD Development (Ramp-up and development) - Art,14.1,SIC,5,
1008207,354680,Story,Feature 354680 (Site): SSL Configuration and Testing for Splunk,14.1,SIC,5,
1008185,384036,Story,Feature 384036:(SIEM SVD) update to support Nutanix and iLo data- Part 2,14.3,Okapi,3,
1008177,396308,Story,PI 14 SIC PWI Support - Assess Problem 1003195 - VLAB investigation of limit,14.1,SIC,1,
1008172,396308,Story,Feature 396308: TOFF PWI triage/assessment support 14.5,14.5,TOFF,1,
1008171,396308,Story,Feature 396308: TOFF PWI triage/assessment support 14.4,14.4,TOFF,1,
1008170,396308,Story,Feature 396308: TOFF PWI triage/assessment support 14.3,14.3,TOFF,1,
1008169,396308,Story,Feature 396308: TOFF PWI triage/assessment support 14.2,14.2,TOFF,1,
1008168,396308,Story,Feature 396308: TOFF PWI triage/assessment support 14.1,14.1,TOFF,1,
1008143,395871,Story,Feature 395871: WWTS front-end CRM TT support (Bob) 14.5,14.5,WWTS,1,
1008142,395871,Story,Feature 395871: WWTS front-end CRM TT support (Bob) 14.4,14.4,WWTS,1,
1008141,395871,Story,Feature 395871: WWTS front-end CRM TT support (Bob) 14.3,14.3,WWTS,1,
1008140,395871,Story,Feature 395871: WWTS front-end CRM TT support (Bob) 14.2,14.2,WWTS,1,
1008138,395871,Story,Feature 395871: WWTS front-end CRM TT support (Bob) 14.1,14.1,WWTS,1,
1008134,384036,Story,Feature 384036: Define or update Nutanix SVD,14.3,Okapi,3,
1008118,1000847,Story,Configure IIS on cwapp205 for MUOSRel migration,14.1,Tools,3,
1008115,1006376,Story,Feature 1006376: Review MAMA2 source code (for Ty),14.4,WWTS,2,
1008110,381524,Story,Feature 381524 PB: Fix Problem 381547 - Part 3,14.4,SIC,5,381547
1008088,392743,Story,Feature 392743 ATO: Provide Deployment Notes and Operator Impact Inputs,14.3,SIC,1,
1008072,384036,Story,Feature 384036:Create Nutanix Sizing model,14.3,Okapi,3,
1008071,384036,Story,Feature 384036: Develop Nutanix and Cisco Switch Deployment Plan to prevent outages,14.2,Okapi,2,
1008069,387448,Story,Generate Essential Documents Drawing Tree,14.4,System Engineering,1,
1008068,387448,Story,Generate Essential Documents Drawing Tree,14.3,System Engineering,1,
1008067,387448,Story,Generate Essential Documents Drawing Tree,14.2,System Engineering,1,
1008066,387448,Story,Update P2P Communication Call Flows,14.4,System Engineering,2,
1008065,387448,Story,Update P2P Communication Call Flows,14.3,System Engineering,2,
1008064,387448,Story,Update P2P Communication Call Flows,14.2,System Engineering,2,
1008063,385856,Story,Feature 385856: Conversion to ACC - Systems Effort Part 3,14.3,System Engineering,2,
1008062,388053,Story,Design PPA Replacement (Support),14.4,System Engineering,2,
1008061,388053,Story,Design PPA Replacement,14.3,System Engineering,1,
1008060,388053,Story,Design PPA Replacement,14.4,System Engineering,5,
1008059,388053,Story,Design PPA Replacement,14.3,System Engineering,5,
1008057,387448,Story,Update P2P Communication Call Flows,14.3,System Engineering,1,
1008054,388053,Story,Design FCAPS Replacement,14.4,System Engineering,3,
1008053,388053,Story,Design FCAPS Replacement,14.3,System Engineering,3,
1008052,388053,Story,Design FCAPS Replacement,14.2,System Engineering,2,
1008051,379761,Story,FM Whitelist updates for PI 14 (1st release): Identify Whitelist content (Systems),14.2,System Engineering,1,
1008050,368860,Story,Feature: 368860 High-Level System Architecture ~ Architecture Lead,14.4,System Engineering,2,
1008049,368860,Story,Feature: 368860 High-Level System Architecture ~ PtN,14.4,System Engineering,2,
1008048,368860,Story,"Feature: 368860 High-Level System Architecture ~ External Network (data, voice)",14.4,System Engineering,1,
1008047,368860,Story,Feature: 368860 High-Level System Architecture ~ Acquisition & Registration (AES),14.4,System Engineering,1,
1008046,368860,Story,Feature: 368860 High-Level System Architecture ~ PtP,14.4,System Engineering,1,
1008045,368860,Story,Feature: 368860 High-Level System Architecture ~ PtP,14.2,System Engineering,2,
1008043,368860,Story,Feature: 368860 Cost Estimate ~ GDS,14.3,System Engineering,1,
1008042,368860,Story,Feature: 368860 Cost Estimate ~ GDS,14.2,System Engineering,1,
1008041,368860,Story,Feature: 368860 Cost Estimate ~ FCAPS,14.3,System Engineering,1,
1008040,368860,Story,Feature: 368860 Cost Estimate ~ FCAPS,14.2,System Engineering,1,
1008039,368860,Story,Feature: 368860 Cost Estimate ~ FCAPS,14.1,System Engineering,1,
1008038,1007569,Story,Feature 1007569: Technical Interchange Meeting (TIM) attendance 14.4,14.4,Alicorn,3,
1008037,1001636,Story,6) Create PWIs for Priority CAT1s (Part 1),14.3,Cyber,1,
1008036,1007569,Story,Feature 1007569: Technical Interchange Meeting (TIM) attendance 14.4,14.4,TOFF,3,
1008035,395373,Story,Support PMW During ATO Approval Process - 14.4,14.4,Cyber,1,
1008034,395373,Story,Support PMW During ATO Approval Process - 14.3,14.3,Cyber,1,
1008033,395373,Story,Support PMW During ATO Approval Process - 14.2,14.2,Cyber,1,
1008032,1007569,Story,Feature 1007569: Cyber support for enhanced alt-telemetry,14.3,Cyber,1,
1008028,395373,Story,Polatis Switch Rework,14.3,Cyber,1,
1008026,395373,Story,VMP: Complete Scan Assessment Guidance document (Part 1),14.4,SIC,3,
1008015,390286,Story,Feature 390286: Verify GPO Changes in VLAB and Test,14.2,Cyber,3,
1008013,390286,Story,Feature 390286: Apply Update to GPO in VLAB,14.1,TOFF,1,
1008003,396819,Story,Feature 396819: TPM Resolve DB101 in VLAB,14.3,Alicorn,3,
1007999,389549,Story,Support PPA,14.1,System Engineering,3,
1007988,385442,Story,Feature 385442: Capabilities Design Specification and Detailed Design Documentation - Information Assurance Design - Placeholder for ETI effort - IA - Continued from 14.3 [14.4],14.4,Okapi,2,
1007987,385442,Story,Feature 385442: Capabilities Design Specification and Detailed Design Documentation - Information Assurance Design - Placeholder for ETI effort - IA - Continued from 14.2 [14.3],14.3,Okapi,2,
1007976,388004,Story,Feature 388004: TD0202-18-13 Unclass GDS Analysis - Waveform,14.1,WWTS,1,
1007933,1001912,Story,Feature 1001912: WF PWI burndown - Leslie,14.4,WWTS,3,
1007932,1001912,Story,Feature 1001912: WF PWI burndown - Leslie,14.3,WWTS,2,
1007931,1001912,Story,Feature 1001912: WF PWI burndown - Leslie,14.2,WWTS,2,
1007930,1001912,Story,Feature 1001912: WF PWI burndown - Leslie,14.1,WWTS,2,
1007929,377408,Story,Feature 377408: Provide Deployment Notes and Operator Impact Inputs,14.4,Falcons,1,
1007928,1001912,Story,Feature 1001912: WF PWI burndown - Ty,14.1,WWTS,3,
1007927,1001912,Story,Feature 1001912: WF PWI burndown - Ty,14.2,WWTS,2,
1007926,1001912,Story,Feature 1001912: WF PWI burndown - Ty,14.3,WWTS,2,
1007925,1001912,Story,Feature 1001912: WF PWI burndown - Ty,14.4,WWTS,2,
1007924,1001912,Story,Feature 1001912: WF PWI burndown - Sang,14.4,WWTS,5,
1007923,384036,Story,Feature 384036: Upgrade V-Lab to Support Nutanix Solution,14.4,Labradors,2,
1007922,384036,Story,Feature 384036: Upgrade V-Lab to Support Nutanix Solution,14.3,Labradors,2,
1007921,1001912,Story,Feature 1001912: WF PWI burndown - Sang,14.3,WWTS,5,
1007920,384036,Story,Feature 384036: Upgrade V-Lab to Support Nutanix Solution,14.2,Labradors,1,
1007919,1001912,Story,Feature 1001912: WF PWI burndown - Sang,14.2,WWTS,5,
1007918,1001912,Story,Feature 1001912: WF PWI burndown - Sang,14.1,WWTS,5,
1007917,1001912,Story,Feature 1001912: WF PWI burndown - Loretta,14.1,WWTS,3,
1007916,1001912,Story,Feature 1001912: WF PWI burndown - Loretta,14.2,WWTS,3,
1007915,1001912,Story,Feature 1001912: WF PWI burndown - Loretta,14.3,WWTS,3,
1007914,1001912,Story,Feature 1001912: WF PWI burndown - Loretta,14.4,WWTS,3,
1007909,1001912,Story,Feature 1001912: WF PWI burndown - Hy,14.4,WWTS,3,
1007907,1001912,Story,Feature 1001912: WF PWI burndown - Hy,14.3,WWTS,2,
1007906,1001912,Story,Feature 1001912: WF PWI burndown - Hy,14.2,WWTS,2,
1007905,1001912,Story,Feature 1001912: WF PWI burndown - Hy,14.1,WWTS,2,
1007904,1001912,Story,Feature 1001912: WF PWI burndown,14.3,WWTS,2,
1007903,1001912,Story,Feature 1001912: WF PWI burndown - Bob,14.2,WWTS,3,
1007902,1001912,Story,Feature 1001912: WF PWI burndown - Bob,14.3,WWTS,3,
1007901,1001912,Story,Feature 1001912: WF PWI burndown - Bob,14.4,WWTS,3,
1007899,1001912,Story,Feature 1001912: WF PWI burndown - Anton,14.4,WWTS,5,
1007898,1001912,Story,Feature 1001912: WF PWI burndown - Anton,14.3,WWTS,5,
1007897,1001912,Story,Feature 1001912: WF PWI burndown - Anton,14.2,WWTS,5,
1007895,1001912,Story,Feature 1001912: WF PWI burndown - Tim,14.1,WWTS,2,
1007894,1001912,Story,Feature 1001912: WF PWI burndown - Tim,14.4,WWTS,5,
1007893,1001912,Story,Feature 1001912: WF PWI burndown - Tim,14.3,WWTS,5,
1007891,1001912,Story,Feature 1001912: WF PWI burndown - Tim,14.2,WWTS,3,
1007877,342054,Story,Feature 342054:Redline verification and re-run for AWARE alignment procedure installation section,14.3,Labradors,3,
1007875,384136,Story,Feature 384136:Update based on redlines and configuration updates MUOS_IG_GS_Firewall_Network_SVD_98-P55755M  Firewalls to meet new IP address for ePO 200 and 201,14.3,Okapi,2,
1007864,1007569,Story,Feature 1007569: Technical Interchange Meeting (TIM) attendance 14.2,14.2,Alicorn,3,
1007863,1007569,Story,Feature 1007569: Technical Interchange Meeting (TIM) attendance 14.1,14.1,TOFF,3,
1007857,1007569,Story,Feature 1007569: SME CONOPS support for enhanced alt-telemetry 14.5,14.5,SIC,1,
1007856,1007569,Story,Feature 1007569: SME CONOPS support for enhanced alt-telemetry 14.4,14.4,SIC,1,
1007855,1007569,Story,Feature 1007569: SME CONOPS support for enhanced alt-telemetry 14.3,14.3,SIC,1,
1007854,1007569,Story,Feature 1007569: SME CONOPS support for enhanced alt-telemetry 14.2,14.2,SIC,1,
1007853,1007569,Story,Feature 1007569: SME CONOPS support for enhanced alt-telemetry 14.1,14.1,SIC,1,
1007849,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.5",14.5,TOFF,2,
1007848,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.5",14.5,Alicorn,1,
1007847,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.5",14.5,Alicorn,2,
1007846,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.4",14.4,TOFF,1,
1007845,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.4",14.4,Alicorn,1,
1007844,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.4",14.4,Alicorn,1,
1007843,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.3",14.3,TOFF,2,
1007842,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.3",14.3,Alicorn,2,
1007841,1007569,Story,"Feature 1007569: SME support for enhanced alt-telemetry (attend reviews, update IETM plan, tool support, etc.) 14.3",14.3,Alicorn,1,
1007840,384136,Story,"Feature 384136:Update based on redlines and configuration updates: Firewall_Network_SVD_98-P55755M, Load Balancer LB_SVD_98-P55464M, Router_SVD_98-P55509M to incorporate updates to Nutanix Environment and the HBSS DMZ to SIPR",14.2,Okapi,3,
1007839,384136,Story,Feature 384136: Cisco switch SVD configuration and review for Nutanix and HBSS,14.2,Okapi,2,
1007838,1006376,Story,Feature 1006376: Review MAMA2 source code (for Katy),14.4,WWTS,1,
1007837,1006376,Story,Feature 1006376: Review MAMA2 source code (for Yu-Ling),14.4,WWTS,2,
1007836,342054,Story,Feature 342054: Build Spare RF Tray #2 for Connected AWARE SC,14.3,Labradors,5,
1007835,342054,Story,Feature 342054: Build Spare RF Tray #1 for Connected AWARE SC,14.2,Labradors,2,
1007833,342054,Story,Feature 342054: Build Spare RF Tray #1 for Connected AWARE SC,14.2,Labradors,3,
1007831,395174,Story,Feature 395174: Analyze AIU; ANTENNA INTERFACE UNIT 21: SN TR46519365 for SR 1100783 / G3129,14.2,Labradors,1,
1007830,395174,Story,Feature 395174: Analyze AIU; ANTENNA INTERFACE UNIT 21: SN TR46519368 for SR 1099903 / G3128,14.2,Labradors,1,
1007829,395174,Story,Feature 395174: Analyze AIU; ANTENNA INTERFACE UNIT 21: SN TR46519363 for SR 1099870 / G3127,14.2,Labradors,1,
1007828,395174,Story,Feature 395174: Analyze AIU; ANTENNA INTERFACE UNIT 21: SN TR47409354 for SR 1093147 / G3095,14.1,Labradors,1,
1007827,1000204,Story,Release Regression - NMS Automation (xx.3),14.3,Roadrunners,1,
1007810,1001248,Story,"Feature 1001248 OTAP: Fix Problem 387255 Perform Iterative Implementation, Integration, and  development.- part 4",14.4,SIC,3,
1007808,1001248,Story,"Feature 1001248 OTAP: Fix Problem 387255 Perform Iterative Implementation, Integration, and  development.- part 2",14.2,SIC,5,
1007804,383168,Story,Feature 383168 Completion of Base Electronic System Engineer Plan BESEP (needed 120 days prior to FRCB),14.1,Okapi,2,
1007803,383168,Story,"Feature 383168 Generate Test Report, needed 30 days prior to FRCB.",14.4,Okapi,3,
