RTCid,Parent,Sprint,SP
1008088,392743,14.3,1
1008072,384036,14.3,3
1008071,384036,14.2,2
1008069,387448,14.4,1
1008068,387448,14.3,1
1008067,387448,14.2,1
1008066,387448,14.4,2
1008065,387448,14.3,2
1008064,387448,14.2,2
1008063,385856,14.3,2
1008062,388053,14.4,2
1008061,388053,14.3,1
1008060,388053,14.4,5
1008059,388053,14.3,5
1008057,387448,14.3,1
1008054,388053,14.4,3
1008053,388053,14.3,3
1008052,388053,14.2,2
1008051,379761,14.2,1
1008050,368860,14.4,2
1008049,368860,14.4,2
1008048,368860,14.4,1
1008047,368860,14.4,1
1008046,368860,14.4,1
1008045,368860,14.2,2
1008043,368860,14.3,1
1008042,368860,14.2,1
1008041,368860,14.3,1
1008040,368860,14.2,1
1008039,368860,14.1,1
1008038,1007569,14.4,3
1008037,1001636,14.3,1
1008036,1007569,14.4,3
1008035,395373,14.4,1
1008034,395373,14.3,1
1008033,395373,14.2,1
1008032,1007569,14.3,1
1008028,395373,14.3,1
1008026,395373,14.4,3
1008015,390286,14.2,3
1008013,390286,14.1,1
1008003,396819,14.3,3
1007999,389549,14.1,3
1007988,385442,14.4,2
1007987,385442,14.3,2
1007976,388004,14.1,1
1007933,1001912,14.4,3
1007932,1001912,14.3,2
1007931,1001912,14.2,2
1007930,1001912,14.1,2
1007929,377408,14.4,1
1007928,1001912,14.1,3
1007927,1001912,14.2,2
1007926,1001912,14.3,2
1007925,1001912,14.4,2
1007924,1001912,14.4,5
1007923,384036,14.4,2
1007922,384036,14.3,2
1007921,1001912,14.3,5
1007920,384036,14.2,1
1007919,1001912,14.2,5
1007918,1001912,14.1,5
1007917,1001912,14.1,3
1007916,1001912,14.2,3
1007915,1001912,14.3,3
1007914,1001912,14.4,3
1007909,1001912,14.4,3
1007907,1001912,14.3,2
1007906,1001912,14.2,2
1007905,1001912,14.1,2
1007904,1001912,14.3,2
1007903,1001912,14.2,3
1007902,1001912,14.3,3
1007901,1001912,14.4,3
1007899,1001912,14.4,5
1007898,1001912,14.3,5
1007897,1001912,14.2,5
1007895,1001912,14.1,2
1007894,1001912,14.4,5
1007893,1001912,14.3,5
1007891,1001912,14.2,3
1007877,342054,14.3,3
1007875,384136,14.3,2
1007864,1007569,14.2,3
1007863,1007569,14.1,3
1007857,1007569,14.5,1
1007856,1007569,14.4,1
1007855,1007569,14.3,1
1007854,1007569,14.2,1
1007853,1007569,14.1,1
1007849,1007569,14.5,2
1007848,1007569,14.5,1
1007847,1007569,14.5,2
1007846,1007569,14.4,1
1007845,1007569,14.4,1
1007844,1007569,14.4,1
1007843,1007569,14.3,2
1007842,1007569,14.3,2
1007841,1007569,14.3,1
1007840,384136,14.2,3
1007839,384136,14.2,2
1007838,1006376,14.4,1
1007837,1006376,14.4,2
1007836,342054,14.3,5
1007835,342054,14.2,2
1007833,342054,14.2,3
1007831,395174,14.2,1
1007830,395174,14.2,1
1007829,395174,14.2,1
1007828,395174,14.1,1
1007827,1000204,14.3,1
1007810,1001248,14.4,3
1007808,1001248,14.2,5
1007804,383168,14.1,2
1007803,383168,14.4,3
1007802,383168,14.3,2
1007801,383168,14.3,2
1007798,383168,14.1,3
1007797,383168,14.4,1
1007790,355228,14.5,2
1007789,355228,14.4,2
1007787,355228,14.3,2
1007784,355228,14.2,2
1007783,355228,14.1,2
