FeatureId,Team,Summary,Start,Sprint,SP,End
354680,SIC,TD19-10: Implement SPLUNK HA for Site,354683,14.2,2,354682
354680,SIC,TD19-10: Implement SPLUNK HA for Site,354681,14.1,3,354686
354174,SIC,"TD19-10: SPLUNK HA Update IETMs, Task Analysis, etc",354182,14.3,8,354176
354174,SIC,"TD19-10: SPLUNK HA Update IETMs, Task Analysis, etc",354181,14.3,2,354176
354174,SIC,"TD19-10: SPLUNK HA Update IETMs, Task Analysis, etc",354179,14.4,1,354176
354174,SIC,"TD19-10: SPLUNK HA Update IETMs, Task Analysis, etc",354176,14.4,1,354183
352931,SIC,TD19-10: Prepare Docs for SPLUNK HA FRCB in support of EAD 17,354763,14.5,3,354768
352931,SIC,TD19-10: Prepare Docs for SPLUNK HA FRCB in support of EAD 17,354762,14.4,5,354768
352931,SIC,TD19-10: Prepare Docs for SPLUNK HA FRCB in support of EAD 17,354761,14.2,3,354762
318430,Okapi,Windows 10 Laptop for ETT,318432,14.1,3,318439
318430,Okapi,Windows 10 Laptop for ETT,318432,14.1,3,390060
318380,Okapi,Windows 10 Laptop for AJM/MTC ,1009929,14.1,2,1009930
318380,Okapi,Windows 10 Laptop for AJM/MTC ,1009928,14.1,1,1009929
297335,Tools,RAN Dev Env (RDE) Transition to Production Part 2,1001057,14.2,5,334396
297335,Tools,RAN Dev Env (RDE) Transition to Production Part 2,384597,14.4,3,390317
297335,Tools,RAN Dev Env (RDE) Transition to Production Part 2,384597,14.4,3,384596
297335,Tools,RAN Dev Env (RDE) Transition to Production Part 2,384596,14.5,5,390317
297335,Tools,RAN Dev Env (RDE) Transition to Production Part 2,334396,14.3,5,344115
293338,Tools,SWIT Dev Env (SDE) Create Developer WS VMs,1000853,14.2,5,342802
293338,Tools,SWIT Dev Env (SDE) Create Developer WS VMs,342862,14.2,3,1000852
293338,Tools,SWIT Dev Env (SDE) Create Developer WS VMs,342802,14.2,8,334844
293338,Tools,SWIT Dev Env (SDE) Create Developer WS VMs,342802,14.2,8,342851
293338,Tools,SWIT Dev Env (SDE) Create Developer WS VMs,342802,14.2,8,334849
293338,Tools,SWIT Dev Env (SDE) Create Developer WS VMs,342802,14.2,8,342850
293338,Tools,SWIT Dev Env (SDE) Create Developer WS VMs,342802,14.2,8,342873
