(1009456, 5)
(1017162, 5)
(1009458, 5)
(1017083, 5)
(1017084, 5)
(1017085, 5)
(1017161, 5)
(1017163, 5)
(1017404, 2)
(1017953, 5)
(1017954, 1)
(1013137, 5)
(1013363, 5)
(1013400, 2)
(1013405, 0)
(1016532, 5)
(1016534, 5)
(1016537, 2)
(1016544, 3)
(1016549, 2)
(1016559, 2)
(1013394, 5)
(1013402, 3)
(1013406, 2)
(1016525, 5)
(1016529, 3)
(1016533, 5)
(1016535, 5)
(1016540, 2)
(1016543, 2)
(1016547, 2)
(1016553, 5)
(1016558, 2)
(1013396, 5)
(1013403, 5)
(1013407, 3)
(1016526, 5)
(1016528, 2)
(1016530, 0)
(1016539, 1)
(1016542, 0)
(1016546, 2)
(1016552, 5)
(1016557, 2)
(1016561, 5)
(1020267, 5)
(1021874, 1)
(1013399, 3)
(1013404, 3)
(1013408, 2)
(1016527, 5)
(1016531, 2)
(1016536, 3)
(1016538, 1)
(1016541, 2)
(1016551, 5)
(1016556, 2)
(1016560, 0)
(1020268, 5)
(1020067, 1)
(1016554, 0)
(1016555, 0)
(1013138, 0)
(1013139, 0)
(1013140, 0)
(1013141, 0)
(1013142, 0)
(1013143, 0)
(1013144, 0)
(1013145, 0)
(1013146, 0)
(1013147, 0)
(1013148, 0)
(1013149, 0)
(1013150, 0)
(1015576, 5)
(1017165, 3)
(1017173, 3)
(1017920, 1)
(1009455, 2)
(1017016, 2)
(1017017, 2)
(1017209, 3)
(1011704, 2)
(1017182, 2)
(1021841, 2)
(1021955, 1)
(1021956, 1)
(1021957, 1)
(1007026, 2)
(1007254, 2)
(1007821, 3)
(1008608, 0)
(1007029, 2)
(1007030, 5)
(1007837, 2)
(1007838, 1)
(1008115, 2)
(1007061, 2)
(1007255, 1)
(1007260, 2)
(1015854, 1)
(1017608, 3)
(1017834, 0)
(391361, 5)
(1007256, 1)
(1007261, 2)
(1017611, 5)
(1018358, 3)
(1007257, 1)
(1007262, 1)
(1008257, 0)
(1017612, 3)
(1017626, 2)
(1020158, 2)
(1007060, 1)
